policy_name,confidence_threshold,risk_threshold,route_gap_threshold,min_route_cer_review_threshold,selected_route_CER,route_accuracy,false_safe_rate,text_probe_reduction_rate,direct_bypass_rate,fallback_rate,review_rate,mixed_bypass_count,separation_bypass_count,unsafe_bypass_count,selected_mixed_high_error_count,cost_score,sample_count,note
conf0.50_risk0.50_gap0.05_review0.60,0.5,0.5,0.05,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.50_gap0.05_review0.65,0.5,0.5,0.05,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.50_gap0.05_review0.70,0.5,0.5,0.05,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.50_gap0.10_review0.60,0.5,0.5,0.1,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.50_gap0.10_review0.65,0.5,0.5,0.1,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.50_gap0.10_review0.70,0.5,0.5,0.1,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.00_review0.60,0.5,0.6,0.0,0.6,0.537082,0.816667,0.0,0.65,0.65,0.35,0.316667,13,26,0,12,0.705833,60,safe_frontier_policy
conf0.50_risk0.60_gap0.00_review0.65,0.5,0.6,0.0,0.65,0.537082,0.816667,0.0,0.65,0.65,0.35,0.316667,13,26,0,12,0.705833,60,safe_frontier_policy
conf0.50_risk0.60_gap0.00_review0.70,0.5,0.6,0.0,0.7,0.537082,0.816667,0.0,0.65,0.65,0.35,0.316667,13,26,0,12,0.705833,60,safe_frontier_policy
conf0.50_risk0.60_gap0.02_review0.60,0.5,0.6,0.02,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.02_review0.65,0.5,0.6,0.02,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.02_review0.70,0.5,0.6,0.02,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.03_review0.60,0.5,0.6,0.03,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.03_review0.65,0.5,0.6,0.03,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.03_review0.70,0.5,0.6,0.03,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.05_review0.60,0.5,0.6,0.05,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.05_review0.65,0.5,0.6,0.05,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.05_review0.70,0.5,0.6,0.05,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.10_review0.60,0.5,0.6,0.1,0.6,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.10_review0.65,0.5,0.6,0.1,0.65,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.50_risk0.60_gap0.10_review0.70,0.5,0.6,0.1,0.7,0.665826,0.533333,0.0,0.25,0.25,0.75,0.316667,13,2,0,12,0.925833,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.00_review0.60,0.6,0.2,0.0,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.00_review0.65,0.6,0.2,0.0,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.00_review0.70,0.6,0.2,0.0,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.02_review0.60,0.6,0.2,0.02,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.02_review0.65,0.6,0.2,0.02,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.02_review0.70,0.6,0.2,0.02,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.03_review0.60,0.6,0.2,0.03,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.03_review0.65,0.6,0.2,0.03,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.03_review0.70,0.6,0.2,0.03,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.05_review0.60,0.6,0.2,0.05,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.05_review0.65,0.6,0.2,0.05,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.05_review0.70,0.6,0.2,0.05,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.10_review0.60,0.6,0.2,0.1,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.10_review0.65,0.6,0.2,0.1,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.20_gap0.10_review0.70,0.6,0.2,0.1,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.60_risk0.30_gap0.00_review0.60,0.6,0.3,0.0,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.00_review0.65,0.6,0.3,0.0,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.00_review0.70,0.6,0.3,0.0,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.02_review0.60,0.6,0.3,0.02,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.02_review0.65,0.6,0.3,0.02,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.02_review0.70,0.6,0.3,0.02,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.03_review0.60,0.6,0.3,0.03,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.03_review0.65,0.6,0.3,0.03,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.03_review0.70,0.6,0.3,0.03,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.05_review0.60,0.6,0.3,0.05,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.05_review0.65,0.6,0.3,0.05,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.05_review0.70,0.6,0.3,0.05,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.10_review0.60,0.6,0.3,0.1,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.10_review0.65,0.6,0.3,0.1,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.30_gap0.10_review0.70,0.6,0.3,0.1,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.60_risk0.40_gap0.00_review0.60,0.6,0.4,0.0,0.6,0.540987,0.816667,0.0,0.383333,0.383333,0.616667,0.316667,12,11,0,12,0.8525,60,safe_frontier_policy
conf0.60_risk0.40_gap0.00_review0.65,0.6,0.4,0.0,0.65,0.540987,0.816667,0.0,0.383333,0.383333,0.616667,0.316667,12,11,0,12,0.8525,60,safe_frontier_policy
conf0.60_risk0.40_gap0.00_review0.70,0.6,0.4,0.0,0.7,0.540987,0.816667,0.0,0.383333,0.383333,0.616667,0.316667,12,11,0,12,0.8525,60,safe_frontier_policy
conf0.60_risk0.40_gap0.02_review0.60,0.6,0.4,0.02,0.6,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.02_review0.65,0.6,0.4,0.02,0.65,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.02_review0.70,0.6,0.4,0.02,0.7,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.03_review0.60,0.6,0.4,0.03,0.6,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.03_review0.65,0.6,0.4,0.03,0.65,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.03_review0.70,0.6,0.4,0.03,0.7,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.05_review0.60,0.6,0.4,0.05,0.6,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.05_review0.65,0.6,0.4,0.05,0.65,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.05_review0.70,0.6,0.4,0.05,0.7,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.10_review0.60,0.6,0.4,0.1,0.6,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.10_review0.65,0.6,0.4,0.1,0.65,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.40_gap0.10_review0.70,0.6,0.4,0.1,0.7,0.578572,0.666667,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,safe_frontier_policy
conf0.60_risk0.50_gap0.00_review0.60,0.6,0.5,0.0,0.6,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.50_gap0.00_review0.65,0.6,0.5,0.0,0.65,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.50_gap0.00_review0.70,0.6,0.5,0.0,0.7,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.50_gap0.02_review0.60,0.6,0.5,0.02,0.6,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.02_review0.65,0.6,0.5,0.02,0.65,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.02_review0.70,0.6,0.5,0.02,0.7,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.03_review0.60,0.6,0.5,0.03,0.6,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.03_review0.65,0.6,0.5,0.03,0.65,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.03_review0.70,0.6,0.5,0.03,0.7,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.05_review0.60,0.6,0.5,0.05,0.6,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.05_review0.65,0.6,0.5,0.05,0.65,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.05_review0.70,0.6,0.5,0.05,0.7,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.10_review0.60,0.6,0.5,0.1,0.6,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.10_review0.65,0.6,0.5,0.1,0.65,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.50_gap0.10_review0.70,0.6,0.5,0.1,0.7,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.60_gap0.00_review0.60,0.6,0.6,0.0,0.6,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.60_gap0.00_review0.65,0.6,0.6,0.0,0.65,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.60_gap0.00_review0.70,0.6,0.6,0.0,0.7,0.548987,0.8,0.0,0.616667,0.616667,0.383333,0.316667,12,25,0,12,0.724167,60,safe_frontier_policy
conf0.60_risk0.60_gap0.02_review0.60,0.6,0.6,0.02,0.6,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
conf0.60_risk0.60_gap0.02_review0.65,0.6,0.6,0.02,0.65,0.665826,0.533333,0.0,0.233333,0.233333,0.766667,0.316667,12,2,0,12,0.935,60,conservative_fallback_heavy
