con,pro,overlap_ratio,track,cure,cer,max_compression_ratio,repetition,n_segments
con_001.wav,pro_001.wav,0.3,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.3,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.3,spk2,greedy_baseline,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.3,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.3,spk2,halluc_silence,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.3,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.3,spk2,beam5,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.35,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.35,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.35,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.35,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.35,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.35,spk2,greedy_baseline,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.35,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.35,spk2,halluc_silence,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.35,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.35,spk2,beam5,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.4,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.4,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.4,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.4,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.4,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.4,spk2,greedy_baseline,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.4,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.4,spk2,halluc_silence,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.4,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.4,spk2,beam5,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.45,spk1,greedy_baseline,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.45,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.45,spk1,halluc_silence,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.45,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.45,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.45,spk2,greedy_baseline,0.176471,0.85,0,1
con_001.wav,pro_001.wav,0.45,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.45,spk2,halluc_silence,0.176471,0.85,0,1
con_001.wav,pro_001.wav,0.45,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.45,spk2,beam5,0.176471,0.8525,0,1
con_001.wav,pro_001.wav,0.5,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.5,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.5,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.5,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.5,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.5,spk2,greedy_baseline,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.5,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.5,spk2,halluc_silence,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.5,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.5,spk2,beam5,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.6,spk1,greedy_baseline,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.6,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.6,spk1,halluc_silence,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.6,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.6,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.6,spk2,greedy_baseline,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.6,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.6,spk2,halluc_silence,0.176471,0.85,0,2
con_001.wav,pro_001.wav,0.6,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.6,spk2,beam5,0.176471,0.85,0,2
